name,money,addr
青岛市崂山区李村中学塑料包装材料厂,23万元人民币,-
响水县港发新材料科技有限公司,5000万元人民币,响水县陈家港镇黄海大街
太仓市凯威塑业有限公司,50万元人民币,太仓市沙溪镇周泾路533号
杭州亿通塑胶实业有限公司上海经营部,-,上海市梅陇镇上陇新村19号201室
济南润通达塑料有限公司,100万元人民币,济南市历下区解放东路姚家庄173号
洛阳盛阳商贸有限公司,330万元人民币,洛阳市吉利区晋东停车场内东侧3楼303、304室
雄县夏氏包装有限公司,1000万元人民币,雄 县西侯留村
武汉德冠新材料科技有限公司,500万元人民币,武汉东湖新技术开发区高新大道999号
廊坊尚隆硕建筑材料有限公司,300万元人民币,河北省廊坊市大城县北魏乡南蔡村
中山亿启商贸有限公司,50万元人民币,中山市民众镇人民路和顺街10号
漳州市芗城华东工贸公司塑料厂,10万元人民币,漳州市芗城区芝山镇诗浦村
永清县宏利塑料制品有限公司,3000万元人民币,永清县城内武隆路101号
绍兴纳岩材料科技有限公司,2000万元人民币,杭州湾上虞经济技术开发区
长春市鼎浩聚丙烯颗粒有限公司,200万元人民币,经济技术开发区黎明村东岭屯果园中国石化加油站对过
巨野协诚环保设备有限公司,80万元人民币,山东省菏泽市巨野县田庄镇金山路与双华路交汇处向西300米路北
福建省闽清县塔庄化塑厂,8万元人民币,福州市闽清县
武进市嘉泽酿造机械厂,109.9万元人民币,嘉泽镇盛圩村
平江县东方塑料厂,4.9万元人民币,三阳街
广东金发科技有限公司,35506万元人民币,清远市清城区石角镇德龙大道28号
唐山市丰南区泽贤聚酯切片加工厂,-,河北省唐山市丰南区岔河镇张富庄村
云南云天化石化有限公司,110800万元人民币,安宁市草铺镇
美洋（辽宁）科技有限公司,1968万元人民币,辽宁省沈抚新区翔宇路中立诚悦府60号-516
平阳县塑料编织三厂,133万元人民币,肖江镇桑田路
上海华合复合材料有限公司,3000万元人民币,上海市青浦工业园区新达路715号6幢厂房
上海普利特复合材料股份有限公司,52815.7457万元人民币,上海市青浦区赵巷镇沪青平公路2855弄1号12楼
建德市千岛湖新晨化工设备制造有限公司,280万元人民币,建德市下涯镇工业功能区
瓦房店市闫店乡杨店大庆捻线厂,-,辽宁省瓦房店市闫店乡杨店村
无锡宏广电容器有限公司,350万美元,江苏省无锡市江海西路金山北私营工业园B区125号
任丘市华中贸塑料制品有限公司,400万元人民币,任丘市京开道新华供销大楼
曹县磐石办事处濮菏塑编购销中心,-,山东省菏泽市曹县磐石街道办事处怡馨苑小区C栋10号
滕州市骏驰纺织有限公司,50万元人民币,滕州市刁庄工业园区
石家庄银垛塑料制品销售有限公司,100万元人民币,河北省石家庄市元氏县东张村村西
舟山顺通鑫源石油化工有限公司,5000万元人民币,舟山港综合保税区企业服务中心301-10353室
天津市宝坻区求实服装辅料有限公司,100万元人民币,天津市宝坻区新开口镇新开口村西50米
