企业名称,注册资本,企业地址
无锡市锡山区鹅湖镇甘露吉祥卫生用品厂,40万元人民币,锡山区鹅湖镇甘露彩桥村
无锡市万红环境卫生服务有限公司,300万元人民币,无锡市滨湖区梁青路608号
崇安区华东商贸城金双鼠卫生洁具经营部,10万元人民币,无锡市华东商贸城10436、10452号
无锡市顺浩环境卫生服务有限公司,50万元人民币,无锡市惠山区阳山镇人民东路98号
宜兴市兴安职业卫生技术服务有限公司,300万元人民币,宜兴环科园岳东路9号
宜兴市洁净环境卫生服务有限公司,100万元人民币,宜兴市丁蜀镇建新村
宜兴市荆溪环境卫生服务有限公司,98万元人民币,宜兴市宜城街道阳羡西路257号
无锡市北健卫生技术咨询服务有限公司,50万元人民币,无锡市北塘区小三里桥街23号
宜兴市森源环境卫生管理有限公司,100万元人民币,宜兴市新街街道环保科技工业园绿园路228号
无锡市鸿山物业管理有限公司,5000万元人民币,无锡市新区鸿山街道鸿运街
无锡锡防卫生防疫技术服务有限公司,100万元人民币,无锡市中山路159-1502室
江阴市五福自来水有限公司,5000万元人民币,江阴市祝塘镇公园路21号
无锡市锡卫药店有限公司,108万元人民币,无锡市北塘区中山路710号
无锡伟业保洁有限公司,50万元人民币,锡山区羊尖镇垃圾中转站
江苏中方聚优科技有限公司,10000万元人民币,无锡市锡山区锡北镇锡港路张泾东段209号
江阴市远洋科技服务部,0.2万元人民币,江阴市健康路12号
江阴市华宇大药房,20万元人民币,江阴市中街43号
无锡吉冈精密科技股份有限公司,2615万元人民币,无锡市锡山经济技术开发区芙蓉中二路292号
江阴福斯特纺织有限公司,8000万美元,江阴临港经济开发区申港亚包路55号
无锡炳法容光手套有限公司,305万美元,无锡市锡山区安镇镇大成工业集中区
江阴市徐霞客爱生活日用品店,10万元人民币,江阴市徐霞客镇璜塘金都街120号
江苏红豆杉健康科技股份有限公司,25000万元人民币,无锡市锡山区东港镇港下(红豆工业城内)
无锡优佳无纺科技有限公司,3600万元人民币,无锡市锡山区锡北镇工业园区
宜兴市中建物资公司,100万元人民币,宜兴市宜城街道化工市场C14幢8237-1号
无锡三和塑料制品有限公司,928.503万美元,无锡市锡山经济开发区春笋东路110号
江苏卫达康专业防护技术有限责任公司,1000万元人民币,无锡市惠山区钱桥街道惠澄大道77号C楼608室
无锡佳豪手套有限公司,65万美元,无锡市锡山区安镇镇厚桥谢埭荡村
无锡莲腾卫浴有限公司,50万元人民币,无锡市新区汉江北路97
无锡派宸商贸有限公司,200万元人民币,无锡市湖滨街15号蠡湖科研大厦第四层432
无锡苏名针织服饰有限公司,52万美元,无锡市堰桥街道长安长欣路258号
江阴市瑞尔佳妇婴用品有限公司,300万元人民币,江阴市云亭街道松文头路22号兴业园3幢3楼
无锡嘉盛商远建筑科技有限公司,6500万元人民币,宜兴市和桥镇工业集中区
无锡能创物联网科技有限公司,27000万元人民币,无锡新吴区太科园大学科技园立业楼C楼310室
无锡舒达经贸有限公司,50万元人民币,无锡市广南路18号
无锡金鑫集团股份有限公司,9000万元人民币,无锡市滨湖区胡埭镇联合路19-2号
无锡市北环废旧物品回收有限公司,100万元人民币,无锡市北塘区锡航桥堍徐巷98号
无锡摩卡优厨卫设备有限公司,50万元人民币,无锡市锡航新村35-1
宜兴市惠能建设有限公司,305万元人民币,宜兴市宜城街道龙潭西路239号
法斯达（无锡）医学设备有限公司,500万美元,无锡惠山经济开发区惠山大道1699号八号楼七层A区、七层B区、八层A区、八层B区
江阴华粤建材有限公司,50万元人民币,江阴市蒲桥路216号
