日期,省,城市,城市代码,口罩相关厂商,熔喷布相关厂商,纺织机械相关厂商,无纺布相关厂商,医疗器械相关厂商,聚丙烯相关厂商,卫生相关厂商,人口密度,人口数,确诊,疑似,治愈,死亡,百度指数全部,百度指数pc,百度指数移动
2020-01-22,山东省,青岛市,370200,3731,321,46440,1687,41435,279,82282,1622,10047,3,0,0,0,119548,14552,104996
2020-01-22,山东省,威海市,371000,355,29,4497,201,8704,32,14299,1622,10047,1,0,0,0,119548,14552,104996
2020-01-22,山东省,临沂市,371300,1396,132,4647,721,14395,194,20493,1622,10047,2,0,0,0,119548,14552,104996
2020-01-22,河南省,郑州市,410100,1960,87,23591,637,58752,72,40242,4903,9605,2,0,0,0,119548,14552,104996
2020-01-22,河南省,洛阳市,410300,125,17,4287,129,9667,661,16060,4903,9605,1,0,0,0,119548,14552,104996
2020-01-22,河南省,三门峡市,411200,21,4,397,26,1528,10,2739,4903,9605,1,0,0,0,119548,14552,104996
2020-01-22,湖南省,长沙市,430100,50,40,14019,99,35101,57,106739,3174,6899,1,0,0,0,119548,14552,104996
2020-01-22,湖南省,怀化市,431200,43,9,490,23,3536,4,5268,3174,6899,3,0,0,0,119548,14552,104996
2020-01-22,广东省,广州市,440100,131,3,39952,1062,75125,157,383636,3469,11346,5,0,0,0,119548,14552,104996
2020-01-22,广东省,韶关市,440200,133,6,581,34,2549,12,2962,3469,11346,2,0,0,0,119548,14552,104996
2020-01-22,广东省,深圳市,440300,14371,803,63506,4954,87865,295,117277,3469,11346,15,0,0,0,119548,14552,104996
2020-01-22,广东省,珠海市,440400,433,20,5422,98,6769,35,8204,3469,11346,4,0,0,0,119548,14552,104996
2020-01-22,广东省,佛山市,440600,821,63,6532,715,11424,151,41437,3469,11346,1,0,0,0,119548,14552,104996
2020-01-22,广东省,湛江市,440800,180,8,1821,31,5425,23,4462,3469,11346,2,0,0,0,119548,14552,104996
2020-01-22,广东省,肇庆市,441200,139,27,886,81,3640,18,3703,3469,11346,1,0,0,0,119548,14552,104996
2020-01-22,广东省,惠州市,441300,930,121,4646,439,9141,39,6237,3469,11346,1,0,0,0,119548,14552,104996
2020-01-22,广东省,中山市,442000,585,74,2661,334,10952,41,5657,3469,11346,1,0,0,0,119548,14552,104996
2020-01-22,广西壮族自治区,柳州市,450200,105,7,4053,40,6270,43,5842,2025,4926,0,1,0,0,119548,14552,104996
2020-01-22,广西壮族自治区,梧州市,450400,44,1,1119,8,2813,9,4772,2025,4926,1,0,0,0,119548,14552,104996
2020-01-22,广西壮族自治区,北海市,450500,15,2,1202,8,2267,16,2328,2025,4926,1,0,0,0,119548,14552,104996
2020-01-22,海南省,海口市,460100,386,0,11252,68,12440,20,14147,2460,934,1,10,0,0,119548,14552,104996
2020-01-22,海南省,三亚市,460200,65,0,1062,8,1936,1,2927,2460,934,2,8,0,0,119548,14552,104996
2020-01-22,海南省,儋州市,460400,24,0,143,1,618,1,1152,2460,934,0,3,0,0,119548,14552,104996
2020-01-22,重庆市,万州区,500101,60,0,289,2,2001,6,1317,2026,3102,2,0,0,0,119548,14552,104996
2020-01-22,重庆市,涪陵区,500102,132,0,335,2,1049,9,2293,2026,3102,1,0,0,0,119548,14552,104996
2020-01-22,重庆市,长寿区,500115,45,0,229,13,1051,12,5065,2026,3102,1,0,0,0,119548,14552,104996
2020-01-22,重庆市,永川区,500118,126,0,279,11,1859,11,2491,2026,3102,2,0,0,0,119548,14552,104996
2020-01-22,重庆市,垫江县,500231,32,0,78,4,654,0,453,2026,3102,1,0,0,0,119548,14552,104996
2020-01-22,重庆市,巫山县,500237,6,0,21,0,246,0,192,2026,3102,2,0,0,0,119548,14552,104996
2020-01-22,四川省,成都市,510100,617,30,54853,0,97072,139,60263,3068,8341,2,2,0,0,119548,14552,104996
2020-01-22,四川省,绵阳市,510700,60,2,2103,0,7066,25,0,3068,8341,2,0,0,0,119548,14552,104996
2020-01-22,四川省,广安市,511600,18,5,603,17,2928,9,0,3068,8341,1,0,0,0,119548,14552,104996
2020-01-22,贵州省,贵阳市,520100,109,37,6634,117,15565,38,12324,2412,3600,1,0,0,0,119548,14552,104996
2020-01-22,贵州省,铜仁市,520600,29,6,264,22,1681,1,2720,2412,3600,1,0,0,0,119548,14552,104996
2020-01-22,贵州省,黔南布依族苗族自治州,522700,52,4,548,17,2423,11,3891,2412,3600,1,0,0,0,119548,14552,104996
2020-01-22,陕西省,西安市,610100,2498,0,19609,380,54638,177,84477,4450,3864,2,0,0,0,119548,14552,104996
2020-01-22,陕西省,咸阳市,610400,68,0,1490,71,4265,43,12371,4450,3864,1,0,0,0,119548,14552,104996
2020-01-22,陕西省,延安市,610600,14,0,670,5,1843,205,3633,4450,3864,1,0,0,0,119548,14552,104996
2020-01-22,宁夏回族自治区,银川市,640100,56,0,3589,73,8262,100,8025,1371,688,1,0,0,0,119548,14552,104996
2020-01-23,北京市,西城区,110102,66,1,10342,6,10467,88,2837,1136,2154,3,0,0,0,164319,14712,149607
2020-01-23,北京市,朝阳区,110105,369,2,46724,40,48714,31,5304,1136,2154,2,0,0,0,164319,14712,149607
2020-01-23,北京市,丰台区,110106,83,0,26407,22,29557,31,4839,1136,2154,1,0,0,0,164319,14712,149607
2020-01-23,北京市,石景山区,110107,104,0,4273,7,6175,11,2259,1136,2154,1,0,0,0,164319,14712,149607
2020-01-23,北京市,海淀区,110108,268,8,32558,17,42923,72,7025,1136,2154,3,0,0,0,164319,14712,149607
2020-01-23,北京市,通州区,110112,753,2,19516,38,16488,10,4823,1136,2154,2,0,0,0,164319,14712,149607
2020-01-23,北京市,昌平区,110114,111,2,12500,13,16364,18,3981,1136,2154,2,0,0,0,164319,14712,149607
2020-01-23,北京市,大兴区,110115,145,0,10951,39,14428,16,4055,1136,2154,2,0,0,0,164319,14712,149607
2020-01-23,河北省,石家庄市,130100,928,49,17846,2485,35885,340,30944,3210,7556,1,0,0,0,164319,14712,149607
2020-01-23,河北省,沧州市,130900,157,23,2370,483,7511,360,15259,3210,7556,1,0,0,1,164319,14712,149607
2020-01-23,山西省,太原市,140100,95,4,14433,77,17802,12,20862,3514,3718,1,0,0,0,164319,14712,149607
2020-01-23,内蒙古自治区,呼伦贝尔市,150700,12,0,640,4,2961,5,4520,1846,2534,1,0,0,0,164319,14712,149607
2020-01-23,内蒙古自治区,锡林郭勒盟,152500,27,0,927,16,1819,7,2280,1846,2534,0,2,0,0,164319,14712,149607
2020-01-23,辽宁省,沈阳市,210100,415,36,17658,390,35130,85,24802,1782,4359,2,0,0,0,164319,14712,149607
2020-01-23,辽宁省,大连市,210200,556,37,4126,286,16339,1300,11092,1782,4359,1,0,0,0,164319,14712,149607
2020-01-23,辽宁省,朝阳市,211300,46,5,788,43,3382,22,13020,1782,4359,1,0,0,0,164319,14712,149607
2020-01-23,吉林省,长春市,220100,345,22,7443,280,27483,76,25469,1831,2704,1,0,0,0,164319,14712,149607
2020-01-23,吉林省,吉林市,220200,41,0,2907,52,7768,42,13839,1831,2704,1,0,0,0,164319,14712,149607
2020-01-23,吉林省,松原市,220700,24,0,505,24,3158,11,3845,1831,2704,1,0,0,0,164319,14712,149607
2020-01-23,黑龙江省,哈尔滨市,230100,319,0,9962,176,31479,47,27119,5476,3773,1,0,0,0,164319,14712,149607
2020-01-23,黑龙江省,大庆市,230600,38,0,18396,76,6696,71,31582,5476,3773,1,0,0,0,164319,14712,149607
2020-01-23,黑龙江省,牡丹江市,231000,70,0,627,36,3523,18,5302,5476,3773,1,0,0,0,164319,14712,149607
2020-01-23,黑龙江省,绥化市,231200,25,0,598,33,4165,5,6372,5476,3773,1,0,0,1,164319,14712,149607
2020-01-23,江苏省,南京市,320100,1552,3,22042,290,42079,158,27159,2176,8051,3,0,0,0,164319,14712,149607
2020-01-23,江苏省,无锡市,320200,4429,12,42232,951,20688,192,21969,2176,8051,1,0,0,0,164319,14712,149607
2020-01-23,江苏省,苏州市,320500,7969,15,47886,3503,38858,351,33120,2176,8051,2,0,0,0,164319,14712,149607
2020-01-23,江苏省,南通市,320600,2581,5,18640,1144,15446,138,20531,2176,8051,1,0,0,0,164319,14712,149607
2020-01-23,江苏省,连云港市,320700,642,3,5205,167,9251,66,7972,2176,8051,1,0,0,0,164319,14712,149607
2020-01-23,江苏省,扬州市,321000,1553,6,5309,1047,12802,121,16848,2176,8051,1,0,0,0,164319,14712,149607
2020-01-23,浙江省,杭州市,330100,5157,11,37697,1219,54578,297,71513,2137,5737,6,0,0,0,164319,14712,149607
2020-01-23,浙江省,宁波市,330200,4647,114,26881,790,26299,121,33922,2137,5737,5,0,0,0,164319,14712,149607
2020-01-23,浙江省,温州市,330300,3779,12,9990,21191,15190,427,0,2137,5737,1,0,1,0,164319,14712,149607
2020-01-23,浙江省,嘉兴市,330400,1788,21,13461,886,10196,89,0,2137,5737,1,0,0,0,164319,14712,149607
2020-01-23,浙江省,绍兴市,330600,1422,39,21267,0,10129,83,0,2137,5737,1,0,0,0,164319,14712,149607
2020-01-23,浙江省,金华市,330700,11698,26,18073,0,18992,58,0,2137,5737,1,0,0,0,164319,14712,149607
2020-01-23,浙江省,衢州市,330800,461,21,1345,0,3848,40,0,2137,5737,2,0,0,0,164319,14712,149607
2020-01-23,浙江省,舟山市,330900,137,5,3113,0,2398,98,0,2137,5737,1,0,0,0,164319,14712,149607
2020-01-23,浙江省,台州市,331000,1606,10,5790,0,9543,175,0,2137,5737,4,0,0,0,164319,14712,149607
2020-01-23,安徽省,合肥市,340100,1110,176,12829,937,34093,147,32412,2599,6324,6,0,0,0,164319,14712,149607
2020-01-23,安徽省,蚌埠市,340300,206,137,1263,269,3959,36,7722,2599,6324,1,0,0,0,164319,14712,149607
2020-01-23,安徽省,安庆市,340800,4786,1916,1940,6048,5621,152,10242,2599,6324,1,0,0,0,164319,14712,149607
2020-01-23,安徽省,滁州市,341100,958,460,1303,811,3918,62,5571,2599,6324,1,0,0,0,164319,14712,149607
2020-01-23,安徽省,阜阳市,341200,913,180,1528,493,8488,97,12411,2599,6324,2,0,0,0,164319,14712,149607
2020-01-23,安徽省,六安市,341500,320,153,927,288,2530,32,4771,2599,6324,2,0,0,0,164319,14712,149607
2020-01-23,安徽省,亳州市,341600,358,98,619,163,4442,8,6971,2599,6324,1,0,0,0,164319,14712,149607
2020-01-23,安徽省,池州市,341700,176,55,405,121,1306,16,1975,2599,6324,1,0,0,0,164319,14712,149607
2020-01-23,福建省,福州市,350100,332,5,22973,148,21296,97,48332,3238,3941,1,0,0,0,164319,14712,149607
2020-01-23,福建省,厦门市,350200,450,1,53751,175,21383,30,136968,3238,3941,1,0,0,0,164319,14712,149607
